葭 散云肖 无 一毫   四垂 天幕 华露 高   兰闺妆 罢 移江烛   金斗 温温 熨御袍    
佳人 唯是 惜韶年   嫩 向 红 窗理 管弦   锦席 安排 胡蝶 局   深宫 不忌 赌 金钱    
萱草 初长花 未开   共 知青 帝领 春回   珠帘 卷上 琼钩 稳   不 碍 熏风 满殿 来    
倦 饮 情怀 春 晼 晚   宫槐 新叶 未成 阴   和 风 习习 帘帘卷   轻絮 翩翩 院院 深    
浴兰 佳节 共 欢娱   亭午 香飞鹊 尾炉   万里 开疆 元不战   金 卾 犹 进 辟 兵符    
晓漏 初传 第一 筹   碧霄 零露 滴 清秋   常娥 收拾 金波 尽   不向 鸳鸯 瓦 上流    
西苑 池 台驾 幸时   内家 朱毂尽 陪 随   满宫 学士 多 题咏   不减 词臣 应制 诗    
菊吐金 英媚 晚秋   紫宸 朝 退幸 西楼   内家 排投 朱帘卷   铁纲 珊 珊 十二 钩    
残晖 未落 两三 竿   放散 笙歌 晚思闲   暂 上层 楼聊 一望   红尘 多处 是 人间    
殿管 吹灰 报载 阳   内家 相庆互 飞觞   绣工 未必 能 终日   书景 谁知 一线 长    
黄罗 双幅 裹 降书   新拜昭容 称意 无   真色 不劳 施粉黛   香闺 虚挂 十眉图    
银汉横 斜近 建章   九重 深静 闭兰房   六 更 未觉 晨光 动   自 是 仙家 日月 长    
度腊 深宫 暖 未 回   半天 金碧 照 楼台   百花 须待 东风 发   只有 寒梅 傲雪开    
交直 归来 绣幕开   红炉互 劝辟 寒杯   谁知 飞雪 轻独意   倒学 佳人 舞袖 回    
上番 宫女 卷帘 时   闪闪 寒雅 拂晓 啼   缠索 赭袍 催进 辇   紫宸 门外 报班齐    
玉堂 催下 葳蕤 锁   除授 唯容 学士 知   丞相 捧 麻 宣读 了   百僚欣 惬拜 丹墀    
天语 放朝 春雪 急   浓云 偏 傍 禁城 低   喧呼 万马争 归路   落絮 飞花 半作 泥    
初眠 宫柳 未成 阴   马上 聊为 拥鼻吟   远宦 情怀 消 壮志   好花 时节 负 归心   别离 长恨 人 南北   会 歙要 辞酒 浅 深   欲 把 春愁 闲 抖擞   乱山 高处 一 登临    
清晓传 宣赐 御题   日华 初动 露华 晞   集 英殿 上天 香散   飞入 千人白 伫衣    
一年 春事 又 成空   拥鼻 微吟 半醉 中   夹路 桃花 风雨 过   马蹄 无处 避 残红    
过腊 愆 阳陇麦 低   御封 香合奉 精祈   君王 晓入 凝华 殿   远近 楼台 看雪飞    
阊 阖 六开 晓色 回   禁涂迢递 接银台   华簪 簇簇 呼班后   黄伞 亭亭 过 蓼 来    
仙 篽 春 妍 奉 宴 嬉   楼台 偏 与 柳梢宜   鸣鞘 声入 千花 去   黄伞 低 斜 步步 移    
月 澹 中 官放 钥回   倚云 宫殿 掖 门开   彩床 百步 黄罗帕   于阗 名王 进玉来    
红芳 渐少 绿阴 多   留 得 韶光 满 内家   不用 金炉 添 麝 炷   深闺 挂 木香 花    
宴起 昭阳 索辇时   炉香 偏上 赭红 衣   金门 玉砌 明如书   宫女 三千 把 烛 归    
过 社余寒 迤逦 消   东风 送暖 燕营巢   皇都 春色 宜登览   十二楼 高出 柳梢    
长乐 疏钟常 送 月   灵 和 垂柳 只 从 风   不知 天上 人难 老   颜色 年 年 不减 红    
已过 清明 侍宴 稀   绿窗 春睡 绉 罗衣   残红 并逐 狂风 去   只有 桐花 不解 飞    
百花 成锦柳 飞绵   缠席 清明 上 已 前   绣 盖 徐徐 红日 永   六宫 游幸 不 鸣鞭    
鸾 帐 熏 衣赐 御香   花阴 未动 日 初长   人闲 相约 寻芳 去   春困 不禁 千步 廊    
欲 下 金阶翦 牡丹   夜来 风士怯 轻寒   腰如束 素 天然 细   不为 伤春带 自宽    
杨花 飞去 落 谁家   紫禁人 闲惜 岁华   谩 向 园林 觅 春色   折 残枝 上 两三 花    
六宫 称贺 各依班   庆诞遥 瞻 紫气 间   中贵 推排 龙喜 晏   大臣 分奏 两郊 坛    
太 皞 祠 坛 数级 红   青旗 摇曳 日 朦胧   人间 未觉 东风 至   先入 宜春 小院 中    
倦 饮人 闲春欲回   日会 多处 五云开   杨花 满地 东风 转   半作 轻球 滚 流来    
