水石 相逢 骤作声   铿然 律吕 自 天成   山中 纵泛 知音 听   亦 有 流鱼 傍岸行    
云本 无心 尽日闲   溶溶 曳曳 不离山   忽思去 作 人间 雨   腾上 虚空 一饷 间    
释子 亲传 马祖 衣   枯藤 来 此卓 烟霏   斓 斑 锦石 寒泉底   湛碧中涵 五色 辉    
懒上 维摩 室里床   却 来 山顶 现毫光   纷纷 百兽 俱 驯伏   檐 荨 春风 到处 香    
佛力 所至 物皆化   看取 南山 金碧 堆   林浮莽 伏不衔 毒   狮子 昔曾 行道 来    
水从 洞口 泻 玻 瓈   松桧 林中 日影 低   胜景 略 无人 避世   始知 不是 武林 溪    
不怕 掀天 浪拍春   石船系 在 古溪滨   纵然 水绕 东流 岸   犹胜虚舟 误触 人    
山断 空青 近玉京   一牌 就 石 琢磨 成   烟 揩 雾 拭 明如镜   留 与 游人 记 姓名    
磊 磈 中间 忽 洞开   旧 题字 字照 苍苔   只言 如 我 贪山少   亦 有 游人 先 我 来    
刮垢磨光 碧色 深   日华 穿 漏 解云阴   十分 疑是 仙人 镜   照见 茫茫 万古 心    
梵王 住 在 光明 殿   万宝 真同 瓦砾 看   玉 塳 金沙 随地 有   好来 撷取 入中单    
迤逦 冈峦 迅下 驰   萦回 蟠结 几蛟 螭   终然 鼓勇 归 沧海   只待 风雷 借便 时    
仙洞 深沉 杳 不 扃   层峦 双耸 插 天青   矞 云常 抱 山头 石   曾 是 前朝 岳降 灵    
江南 九子 云 深处   亦 有 新罗 国里 人   用夏变夷 夷 变夏   世间 毕竟 是 谁 真    
夜鹤相 催蕙 帐眠   归来 领略 旧 山川   油云 卷入 双 峰顶   收 得 声名 四十年    
槛 泉涌 出不多 深   兑泽相 资互 有心   水净苦 嫌 尘土 污   底须 吾 欲 濯 吾 襟    
旧日 禅扉 松竹 幽   寺 移西去 几经 秋   谁知 一匝 枯茅地   曾 是 谈 经石 点头    
眼看 恒河 几劫沙   随身 锁子 骨 钩 加   岭头 闪闪 神光 动   无尽 灯 中转 法华    
谏 稿 成埃 两鬓 丝   考盘 在 涧 倚天 知   岩前 风叶 行人 耳   便是 襄阳 堕泪 碑    
